B B
C1=CNC=CC=NC=CCNCC=CN=C1 C1=CNC=C[CH:1]=[N:1][CH:1]=CCNCC=CN=C1
C1=CNC=CC=NC=CCNCC=CN=C1 C1=CNC=[CH:1]C=NC=CCNCC=CN=C1
C1=CNC=CC=NC=CCNCC=CN=C1 C1=CN[CH:1]=CC=NC=CCNCC=CN=C1
C1=CNC=CC=NC=CN=CC=NC=CN=C1 C1=CN=CC=[CH:1][NH:1][CH:1]=CC=NC=CN=CC=N1
C1=CNC=CC=NC=CN=CC=NC=CN=C1 C1=CN[CH:1]=CC=NC=CN=CC=NC=CN=C1
C1=CNC=CCN=CC=CNC=CCNCC=CN=C1 C1=CNC=CCN=CC=CNC=CCNCC=[CH:1]N=C1
C1=CNC=CCN=CC=CNC=CCNCC=CN=C1 C1=CNC=CCNCC=CN=[CH:1]C=CNC=CCN=C1
C1=CNC=CCN=CC=CNC=CCNCC=CN=C1 C1=CNC=CCNCC=[CH:1][N:1]=[CH:1]C=CNC=CCN=C1
C1=CNC=CCN=CC=CNCC=CN=C1 C1=CNC=CCN=[CH:1]C=CNCC=CN=C1
C1=CNC=CCN=CC=CNCC=CN=C1 C1=CNC=C[CH2:1]N=CC=CNCC=CN=C1
C1=CNC=CCN=CC=CNCC=CN=C1 C1=CNC=C[CH2:1][N:1]=[CH:1]C=CNCC=CN=C1
C1=CNC=CCNC=CCNCC=CN=C1 C1=CNC=CCN[CH:1]=CCNCC=CN=C1
C1=CNC=CCNC=CCNCC=CN=C1 C1=CNC=C[CH2:1]NC=CCNCC=CN=C1
C1=CNC=CCNC=CCNCC=CN=C1 C1=CNC=C[CH2:1][NH:1][CH:1]=CCNCC=CN=C1
C1=CNC=CCNCC=CNC=CCNCC=CN=C1 C1=CN=[CH:1]C=CNC=CCNCC=CNC=CCNC1
C1=CNC=CCNCC=CNC=CCNCC=CN=C1 C1=CNC=CCNCC=CNC=CCNCC=[CH:1]N=C1
C1=CNC=CCNCC=CNC=CCNCC=CN=C1 C1=CNC=CCNCC=[CH:1][N:1]=[CH:1]C=CNC=CCNC1
C1=CNC=CN1 C1=CN[CH:1]=CN1
C1=CNC=CN1 C1=CN[CH:1]=[CH:1]N1
C1=CNC=CN1 C1=C[NH:1]C=CN1
C1=CNC=CN1 C1=C[NH:1][CH:1]=CN1
C1=CNC=CN=C1 C1=CNC=[CH:1]C=N1
C1=CNC=CN=C1 C1=CNC=[CH:1]N=C1
C1=CNC=CN=C1 C1=CN[CH:1]=CN=C1
C1=CNC=CN=C1 C1=CN[CH:1]=[CH:1]N=C1
C1=CNC=CN=C1 C1=C[NH:1]C=CN=C1
C1=CNC=CNC1 C1=CNC=C[NH:1]C1
C1=CNC=CNC1 C1=CNC=[CH:1]NC1
C1=CNC=CNC1 C1=CN[CH2:1]C=CN1
C1=CNC=CNC1 C1=CN[CH:1]=CCN1
C1=CNC=CNC1 C1=CN[CH:1]=CNC1
C1=CNC=CNC1 C1=CN[CH:1]=[CH:1]NC1
C1=CNC=N1 C1=CN[CH:1]=N1
C1=CNC=N1 C1=C[NH:1]C=N1
C1=CNC=N1 C1=C[NH:1][CH:1]=N1
C1=CNC=N1 C1=NC=[CH:1]N1
C1=CNC=N1 C1=NC=[CH:1][NH:1]1
C1=CNC=N1 C1=N[CH:1]=CN1
C1=CNC=N1 C1=N[CH:1]=[CH:1]N1
C1=CNC=N1 C1=N[CH:1]=[CH:1][NH:1]1
C1=CNC=N1 C1=[CH:1][N:1]=[CH:1]N1
C1=CNC=N1 C1=[CH:1][NH:1][CH:1]=N1
C1=CNC=NC1 C1=CN[CH:1]=NC1
C1=CNC=NC1 C1=C[CH2:1]N=CN1
C1=CNC=NC1 C1=C[NH:1]C=NC1
C1=CNC=NC1 C1=C[NH:1][CH:1]=NC1
C1=CNC=NC1 C1=NCC=[CH:1]N1
C1=CNC=NC1 C1=NCC=[CH:1][NH:1]1
C1=CNC=NC1 C1=NC[CH:1]=CN1
C1=CNC=NC1 C1=NC[CH:1]=[CH:1]N1
C1=CNC=NC1 C1=N[CH2:1][CH:1]=CN1
C1=CNC=NCC1 C1=CN[CH:1]=NCC1
C1=CNC=NCC1 C1=C[CH2:1]CN=CN1
C1=CNC=NCC1 C1=NCCC=[CH:1]N1
C1=CNC=NCC1 C1=NCC[CH:1]=CN1
C1=CNC=NCC1 C1=NCC[CH:1]=[CH:1]N1
C1=CNC=NCC=CCOCCCCCOC=C1 C1=CN[CH:1]=NCC=CCOCCCCCOC=C1
C1=CNC=NCCOCCOCC=CCOCC1 C1=CNC=NCCOCCOC[CH:1]=CCOCC1
C1=CNC=NCCSCCOCC=CCOCC1 C1=CNC=NCCSCCOC[CH:1]=CCOCC1
C1=CNC=NCNC=CCCCC1 C1=CNC=NCNC=C[CH2:1]CCC1
C1=CNC=NCNC=CCCCC1 C1=CNC=NCN[CH:1]=CCCCC1
C1=CNC=NCNC=CCCCC1 C1=CNC=NCN[CH:1]=[CH:1][CH2:1]CCC1
C1=CNC=NCNC=CCCCC1 C1=CNC=N[CH2:1]NC=CCCCC1
C1=CNC=NCNC=CCCCC1 C1=CNCN=CNC=C[CH2:1]CCC1
C1=CNC=NCNC=CCCCC1 C1=CNCN=CN[CH:1]=CCCCC1
C1=CNC=NCNC=CCCCC1 C1=CNCN=CN[CH:1]=[CH:1][CH2:1]CCC1
C1=CNC=NCNC=CCCCC1 C1=CNCN=[CH:1]NC=CCCCC1
C1=CNC=NCNC=CCCCC1 C1=CN[CH:1]=[N:1][CH2:1]NC=CCCCC1
C1=CNC=NCNCCC=CNCC1 C1=CN[CH2:1]CC=CNC=NCNCC1
C1=CNC=NCNCCCNCCCCNC=C1 C1=CNC=NCNCCC[NH:1]CCCCNC=C1
C1=CNC=[NH+]C1 C1=CNC=[NH+:1]C1
C1=CNC=[NH+]C1 C1=CN[CH:1]=[NH+]C1
C1=CNC=[NH+]C1 C1=C[CH2:1][NH+:1]=CN1
C1=CNC=[NH+]C1 C1=C[CH2:1][NH+]=CN1
C1=CNC=[NH+]C1 C1=C[NH:1]C=[NH+]C1
C1=CNC=[NH+]C1 C1=[NH+]CC=[CH:1]N1
C1=CNC=[NH+]C1 C1=[NH+]C[CH:1]=CN1
C1=CNCC1 C1=CN[CH2:1]C1
C1=CNCC1 C1=C[CH2:1]CN1
C1=CNCC1 C1=C[CH2:1][CH2:1]N1
C1=CNCC1 C1=C[NH:1]CC1
C1=CNCC1 C1=C[NH:1][CH2:1]C1
C1=CNCC1 C1=C[NH:1][CH2:1][CH2:1]1
C1=CNCC1 C1=[CH:1]CCN1
C1=CNCC1 C1=[CH:1]NCC1
C1=CNCC1 C1=[CH:1][CH2:1]CN1
C1=CNCC1 C1=[CH:1][NH:1]CC1
C1=CNCC1 C1C[CH:1]=[CH:1]N1
C1=CNCC1 C1C[NH:1][CH:1]=[CH:1]1
C1=CNCC=CCCNC=CC=[NH+]CC=CCC[NH+]=C1 C1=CNCC=CCCNC=CC=[NH+]CC=C[CH2:1]C[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CC=CCC[NH+]=C1 C1=CNCC=CCCNC=CC=[NH+]CC=[CH:1]CC[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CCC=CCC[NH+]=C1 C1=CNCCC=[CH:1]CNC=CC=[NH+]CCC=CCC[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCC=[CH:1]CNC=CC=[NH+]CC=CCC[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCC=[CH:1]CCNC=CC=[NH+]CCCCC[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCC=[CH:1]CNC=CC=[NH+]CCCCC[NH+]=C1
C1=CNCC=CCCNC=CC=[NH+]CCOCC[NH+]=C1 C1=CNCCC=[CH:1]CNC=CC=[NH+]CCOCC[NH+]=C1
C1=CNCC=CCCNCC=C[NH2+]CC=CCC[NH+]=C1 C1=CNCC=CCCNCC=C[NH2+]CC=C[CH2:1]C[NH+]=C1
C1=CNCC=CCCNCC=C[NH2+]CC=CCC[NH+]=C1 C1=CNCC=CCCNCC=C[NH2+]CC=[CH:1]CC[NH+]=C1
C1=CNCC=CCCNCC=C[NH2+]CCC=CC[NH+]=C1 C1=CNC[CH:1]=CCCNCC=C[NH2+]CCC=CC[NH+]=C1
C1=CNCC=CCCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNC[CH:1]=CCCNCC=C[NH2+]CCCCC[NH+]=C1
C1=CNCC=CCCNCC=C[NH2+]CCOCC[NH+]=C1 C1=CNC[CH:1]=CCCNCC=C[NH2+]CCOCC[NH+]=C1
C1=CNCC=CCCNCCCNC=NCNC=C1 C1=CNCC=CCC[NH:1]CCCNC=NCNC=C1
C1=CNCC=CCCNCCC[NH2+]CCC=CC[NH+]=C1 C1=CNC[CH:1]=CCCNCCC[NH2+]CCC=CC[NH+]=C1
C1=CNCC=CCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCC=[CH:1]CCNCCC[NH2+]CCCCC[NH+]=C1
C1=CNCC=CCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNC[CH:1]=CCCNCCC[NH2+]CCCCC[NH+]=C1
C1=CNCC=CCCNCCNCCCC1 C1=CNCC=CC[CH2:1]NCCNCCCC1
C1=CNCC=CCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCC=[CH:1]CNC=CC=[NH+]CCCCC[NH+]=C1
C1=CNCC=CCOC=CCCNCCC1 C1=CNCC=CCOC=CC[CH2:1]NCCC1
C1=CNCC=CCOCC=CCNC=NCC1 C1=CNCC=[CH:1]COCC=CCNC=NCC1
C1=CNCC=CCOCC=CCNCC1 C1=CCOCC=CCN[CH2:1]CC=CNC1
C1=CNCC=CCOCC=CCNCC1 C1=CNCC=CCOCC=C[CH2:1]NCC1
C1=CNCC=CCOCCC=CNCN=CC1 C1=CNCC=CCOCCC=CN[CH2:1]N=CC1
C1=CNCC=CCOCCC=CNCN=CC1 C1=CNCN=[CH:1]CC=CNCC=CCOCC1
C1=CNCC=CCOCCC=CNCN=CC1 C1=CN[CH2:1][N:1]=[CH:1]CC=CNCC=CCOCC1
C1=CNCC=CCOCN=CCNCC1 C1=CNCC=CCOCN=C[CH2:1]NCC1
C1=CNCC=CNC1 C1=CN[CH2:1]C=CNC1
C1=CNCC=COCCNCCCNCC1 C1=CNCC=[CH:1]OCCNCCCNCC1
C1=CNCC=COCCNCCCNCC1 C1=CN[CH2:1]C=COCCNCCCNCC1
C1=CNCC=COCCNCCCNCC1 C1=CN[CH2:1][CH:1]=[CH:1]OCCNCCCNCC1
C1=CNCC=N1 C1=CNC[CH:1]=N1
C1=CNCC=N1 C1=CN[CH2:1]C=N1
C1=CNCC=N1 C1=CN[CH2:1][CH:1]=N1
C1=CNCC=N1 C1=C[NH:1]CC=N1
C1=CNCC=N1 C1=C[NH:1][CH2:1]C=N1
C1=CNCC=N1 C1=C[NH:1][CH2:1][CH:1]=N1
C1=CNCC=N1 C1=NC=[CH:1]NC1
C1=CNCC=N1 C1=NC=[CH:1][NH:1]C1
C1=CNCC=N1 C1=N[CH:1]=CNC1
C1=CNCC=N1 C1=N[CH:1]=[CH:1]NC1
C1=CNCC=NCCC1 C1=CN[CH2:1]C=NCCC1
C1=CNCCC1 C1=CNC[CH2:1]C1
C1=CNCCC1 C1=CN[CH2:1]CC1
C1=CNCCC1 C1=CN[CH2:1][CH2:1]C1
C1=CNCCC1 C1=C[CH2:1]CCN1
C1=CNCCC1 C1=C[CH2:1][CH2:1]CN1
C1=CNCCC1 C1=C[NH:1]CCC1
C1=CNCCC1 C1=C[NH:1][CH2:1]CC1
C1=CNCCC1 C1=C[NH:1][CH2:1][CH2:1]C1
C1=CNCCC1 C1=[CH:1]CCCN1
C1=CNCCC1 C1=[CH:1]NCCC1
C1=CNCCC1 C1=[CH:1][CH2:1]CCN1
C1=CNCCC1 C1=[CH:1][NH:1]CCC1
C1=CNCCC1 C1CN[CH:1]=[CH:1]C1
C1=CNCCC=CCCNC=CC=[NH+]CCC=CCC[NH+]=C1 C1=CNCCC=[CH:1]CCNC=CC=[NH+]CCC=CCC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCC=CCCNC=CC=[NH+]CC[CH:1]=CC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCC=CCCNC=CC=[NH+]C[CH:1]=CCC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCC=CCCN[CH:1]=CC=[NH+]CC=CCC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCC=[CH:1]CCNC=CC=[NH+]CCCCC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCC[NH+]=C1 C1=CNCCC=CCCN[CH:1]=CC=[NH+]CCC[NH+]=C1
C1=CNCCC=CCCNC=CC=[NH+]CCOCC[NH+]=C1 C1=CNCCC=[CH:1]CCNC=CC=[NH+]CCOCC[NH+]=C1
C1=CNCCC=CCCNC=CCCNCCC1 C1=CNCCC=CCCNC=[CH:1]CCNCCC1
C1=CNCCC=CCCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNCCC=[CH:1]CCNCC=C[NH2+]CCCCC[NH+]=C1
C1=CNCCC=CCCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNCC[CH:1]=CCCNCC=C[NH2+]CCCCC[NH+]=C1
C1=CNCCC=CCCNCC=C[NH2+]CCOCC[NH+]=C1 C1=CNCCC=[CH:1]CCNCC=C[NH2+]CCOCC[NH+]=C1
C1=CNCCC=CCCNCC=C[NH2+]CCOCC[NH+]=C1 C1=CNCC[CH:1]=CCCNCC=C[NH2+]CCOCC[NH+]=C1
C1=CNCCC=CCCNCCC[NH2+]CC=CCC[NH+]=C1 C1=CNCCC=CCCNCC[CH2:1][NH2+]CC=CCC[NH+]=C1
C1=CNCCC=CCCNCCC[NH2+]CC=CCC[NH+]=C1 C1=CNCCC=CCCNC[CH2:1]C[NH2+]CC=CCC[NH+]=C1
C1=CNCCC=CCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCCC=CCCNC[CH2:1]C[NH2+]CCCCC[NH+]=C1
C1=CNCCC=CCCNCCC[NH2+]CCC[NH+]=C1 C1=CNCCC=CCCNCC[CH2:1][NH2+]CCC[NH+]=C1
C1=CNCCC=CCNC=CCCNCCC1 C1=CNCCC=CCNC=CC[CH2:1]NCCC1
C1=CNCCC=CCNCC=C[NH2+]CC=CCC[NH+]=C1 C1=CNCCC=[CH:1]CNCC=C[NH2+]CC=CCC[NH+]=C1
C1=CNCCC=CCNCC=C[NH2+]CCC=CC[NH+]=C1 C1=CNCCC=CCNCC=C[NH2+]CC[CH:1]=CC[NH+]=C1
C1=CNCCC=CCNCC=C[NH2+]CCC=CC[NH+]=C1 C1=CNCCC=CCNCC=C[NH2+]C[CH2:1]C=CC[NH+]=C1
C1=CNCCC=CCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNCCC=[CH:1]CNCC=C[NH2+]CCCCC[NH+]=C1
C1=CNCCC=CCNCC=C[NH2+]CCOCC[NH+]=C1 C1=CNCCC=[CH:1]CNCC=C[NH2+]CCOCC[NH+]=C1
C1=CNCCC=CCNCCC=CNCN=CC1 C1=CNCCC=CC[NH:1]CCC=CNCN=CC1
C1=CNCCC=N1 C1=CNCC[CH:1]=N1
C1=CNCCC=N1 C1=CNC[CH2:1]C=N1
C1=CNCCC=N1 C1=CN[CH2:1]CC=N1
C1=CNCCC=N1 C1=C[NH:1]CCC=N1
C1=CNCCC=N1 C1=NC=[CH:1]NCC1
C1=CNCCC=N1 C1=N[CH:1]=CNCC1
C1=CNCCC=N1 C1=N[CH:1]=[CH:1]NCC1
C1=CNCCC=NCCC=CCNSN=CC1 C1=C[NH:1]CCC=NCCC=CCNSN=CC1
C1=CNCCCC1 C1=CNCC[CH2:1]C1
C1=CNCCCC1 C1=CNC[CH2:1]CC1
C1=CNCCCC1 C1=CNC[CH2:1][CH2:1]C1
C1=CNCCCC1 C1=CN[CH2:1]CCC1
C1=CNCCCC1 C1=CN[CH2:1][CH2:1]CC1
C1=CNCCCC1 C1=C[CH2:1]CCCN1
C1=CNCCCC1 C1=C[CH2:1][CH2:1]CCN1
C1=CNCCCC1 C1=C[NH:1]CCCC1
C1=CNCCCC1 C1=C[NH:1][CH2:1]CCC1
C1=CNCCCC1 C1=[CH:1]CCCCN1
C1=CNCCCC1 C1=[CH:1]NCCCC1
C1=CNCCCC1 C1=[CH:1][CH2:1]CCCN1
C1=CNCCCC1 C1=[CH:1][NH:1]CCCC1
C1=CNCCCC1 C1CC[CH:1]=[CH:1]NC1
C1=CNCCCCC1 C1=CN[CH2:1]CCCC1
C1=CNCCCCC1 C1=[CH:1]CCCCCN1
C1=CNCCCCC1 C1=[CH:1]NCCCCC1
C1=CNCCCCC1 C1CCN[CH:1]=[CH:1]CC1
C1=CNCCCCCC1 C1=[CH:1]CCCCCCN1
C1=CNCCCCCCC=NC1 C1=NCC=[CH:1]NCCCCCC1
C1=CNCCCCCCC=NC1 C1=NC[CH:1]=CNCCCCCC1
C1=CNCCCCCCC=NC1 C1=NC[CH:1]=[CH:1]NCCCCCC1
C1=CNCCCCCCCCCCNC=CC=[NH+]CC=CCCC=CC[NH+]=C1 C1=CNCCCCCCCCCCNC=CC=[NH+]C[CH:1]=CCCC=CC[NH+]=C1
C1=CNCCCCCCCCCCNC=CC=[NH+]CCC=CCCC=CC[NH+]=C1 C1=CNCCCCCCCCCCN[CH:1]=CC=[NH+]CC=CCCC=CCC[NH+]=C1
C1=CNCCCCCCCCCCNC=CC=[NH+]CCCCCCCCCC[NH+]=C1 C1=CNCCCCCCCCCCN[CH:1]=CC=[NH+]CCCCCCCCCC[NH+]=C1
C1=CNCCCCCCCCCCNCC=C[NH2+]CCCCCCCCCC[NH+]=C1 C1=CNCCCCCCCCCCN[CH2:1]C=C[NH2+]CCCCCCCCCC[NH+]=C1
C1=CNCCCCCCCCCCNCCC[NH2+]CC=CCCC=CCC[NH+]=C1 C1=CNCCCCCCCCCCNCC[CH2:1][NH2+]CC=CCCC=CCC[NH+]=C1
C1=CNCCCCCCCCCCNCCC[NH2+]CC=CCCC=CC[NH+]=C1 C1=CNCCCCCCCCCCNCCC[NH2+]C[CH:1]=CCCC=CC[NH+]=C1
C1=CNCCCCCCCCCCNCCC[NH2+]CCCCCCCCCC[NH+]=C1 C1=CNCCCCCCCCCCNCC[CH2:1][NH2+]CCCCCCCCCC[NH+]=C1
C1=CNCCCCCCCCNC=CC=[NH+]CCCCCCCC[NH+]=C1 C1=CNCCCCCCCCN[CH:1]=CC=[NH+]CCCCCCCC[NH+]=C1
C1=CNCCCCCCCCNCCC[NH2+]CCCCCCCC[NH+]=C1 C1=CNCCCCCCCCNCC[CH2:1][NH2+]CCCCCCCC[NH+]=C1
C1=CNCCCCCCCOCCCC1 C1=CNCCCC[CH2:1]CCOCCCC1
C1=CNCCCCCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCCCCCNC=CC=[NH+]C[CH:1]=CCC[NH+]=C1
C1=CNCCCCCCNC=CC=[NH+]CCCCCC[NH+]=C1 C1=CNCCCCCCN[CH:1]=CC=[NH+]CCCCCC[NH+]=C1
C1=CNCCCCCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCCCCCN[CH:1]=CC=[NH+]CCCCC[NH+]=C1
C1=CNCCCCCCNCCC1 C1=CNCCCCCCNC[CH2:1]C1
C1=CNCCCCCCNCCCCNCCNCCC1 C1=CNCCCCCCNCCCCNC[CH2:1]NCCC1
C1=CNCCCCCCNCCCCNCCNCCC1 C1=CNCCCCCCNCCC[CH2:1]NCCNCCC1
C1=CNCCCCCCNCCC[NH2+]CC=CCC[NH+]=C1 C1=CNCCCCCCNCCC[NH2+]C[CH:1]=CCC[NH+]=C1
C1=CNCCCCCCNCCC[NH2+]CCCCCC[NH+]=C1 C1=CNCCCCCCNCC[CH2:1][NH2+]CCCCCC[NH+]=C1
C1=CNCCCCCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCCNCC[CH2:1][NH2+]CCCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CC=CC[NH+]=C1 C1=CNCCCCCNC=CC=[NH+]C[CH:1]=CC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCC=CCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCC=CCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCCCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCCCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCCCCNC=CC=[NH+:1]CCCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCCCCNC=CC=[NH+]CC[CH2:1]CC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCCC[NH+]=C1 C1=CNCC[CH2:1]CCNC=CC=[NH+]CCCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCOCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCOCC[NH+]=C1
C1=CNCCCCCNC=CC=[NH+]CCSCC[NH+]=C1 C1=CNCCCCCN[CH:1]=CC=[NH+]CCSCC[NH+]=C1
C1=CNCCCCCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCNCC=C[NH2+]CCCCC[NH+:1]=C1
C1=CNCCCCCNCC=C[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCNC[CH:1]=C[NH2+]CCCCC[NH+]=C1
C1=CNCCCCCNCCCCNCCNCCC1 C1=CNCCCCCNCCCCNC[CH2:1]NCCC1
C1=CNCCCCCNCCCCNCCNCCC1 C1=CNCCCCCNCCC[CH2:1]NCCNCCC1
C1=CNCCCCCNCCCNC=NCNC=C1 C1=CNCCCCC[NH:1]CCCNC=NCNC=C1
C1=CNCCCCCNCCC[NH2+]CC=CC[NH+]=C1 C1=CNCCCCCNCCC[NH2+]CC=CC[NH+:1]=C1
C1=CNCCCCCNCCC[NH2+]CCCCCC[NH+]=C1 C1=CNCCCCCNCC[CH2:1][NH2+]CCCCCC[NH+]=C1
C1=CNCCCCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCNCCC[NH2+]CCCCC[NH+:1]=C1
C1=CNCCCCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCNCC[CH2:1][NH2+]CCCCC[NH+]=C1
C1=CNCCCCCNCCC[NH2+]CCCCC[NH+]=C1 C1=CNCCCCCNC[CH2:1]C[NH2+]CCCCC[NH+]=C1
C1=CNCCCCCNCCC[NH2+]CCCC[NH+]=C1 C1=CNCCCCCNCC[CH2:1][NH2+]CCCC[NH+]=C1
C1=CNCCCCCNCCC[NH2+]CCOCC[NH+]=C1 C1=CNCCCCCNCC[CH2:1][NH2+]CCOCC[NH+]=C1
C1=CNCCCCCNCCC[NH2+]CCSCC[NH+]=C1 C1=CNCCCCCNCC[CH2:1][NH2+]CCSCC[NH+]=C1
C1=CNCCCCCNCCNC1 C1=CN[CH2:1]CCCCNCCNC1
C1=CNCCCCCNCCNC1 C1=C[NH:1]CCCCCNCCNC1
C1=CNCCCCCNCCNC1 C1=C[NH:1][CH2:1]CCCCNCCNC1
C1=CNCCCCCNCCNCCCCNC1 C1=CNCCCCCN[CH2:1]CNCCCCNC1
C1=CNCCCCCNCCNCCNCCCCCCNCCC1 C1=CNCCCCCNCCNCCNC[CH2:1]CCCCNCCC1
C1=CNCCCCCOC=CCCNCC1 C1=CNCCCCCOC=CC[CH2:1]NCC1
C1=CNCCCCN1 C1=CNC[CH2:1]CCN1
C1=CNCCCCN1 C1=[CH:1]NCCCCN1
C1=CNCCCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCCCNC=CC=[NH+]C[CH2:1]C=CC[NH+]=C1
C1=CNCCCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCCCNC=CC=[NH+]C[CH2:1][CH:1]=[CH:1]C[NH+]=C1
C1=CNCCCCNC=CC=[NH+]CCC=CC[NH+]=C1 C1=CNCCCCNC=CC=[NH+]C[CH:1]=CCC[NH+]=C1
C1=CNCCCCNC=CC=[NH+]CCCC[NH+]=C1 C1=CNCCCCN[CH:1]=CC=[NH+]CCCC[NH+]=C1
C1=CNCCCCNCCCCNCCNCCC1 C1=CNCCCCNCCCCNC[CH2:1]NCCC1
C1=CNCCCCNCCCCNCCNCCC1 C1=CNCCCCNCCC[CH2:1]NCCNCCC1
C1=CNCCCCNCCCNC1 C1=CN[CH2:1]CCCNCCCNC1
C1=CNCCCCNCCCNC1 C1=C[NH:1]CCCCNCCCNC1
C1=CNCCCCNCCCNC1 C1=C[NH:1][CH2:1]CCCNCCCNC1
C1=CNCCCCNCCCOC1 C1=CNCCCCNCC[CH2:1]OC1
C1=CNCCCCNCCCOC1 C1=CNCCCCNC[CH2:1]COC1
C1=CNCCCCNCCC[NH2+]CCCC[NH+]=C1 C1=CNCCCCNCC[CH2:1][NH2+]CCCC[NH+]=C1
C1=CNCCCCNCCNC1 C1=CNCCCC[NH:1]CCNC1
C1=CNCCCCNCCNC1 C1=CN[CH2:1]CCCNCCNC1
C1=CNCCCCNCCNC1 C1=C[NH:1]CCCCNCCNC1
C1=CNCCCCNCCNC1 C1=C[NH:1][CH2:1]CCCNCCNC1
C1=CNCCCCNSCCCNC=NCNC=C1 C1=CNCCCCN[S:1]CCCNC=NCNC=C1
C1=CNCCCCOC=CCCNCCC1 C1=CNCCCCOC=CC[CH2:1]NCCC1
C1=CNCCCCOCC=CCNCC1 C1=CNCCCCOCC=C[CH2:1]NCC1
C1=CNCCCCOCCCNCC1 C1=CNCCCCOCCCN[CH2:1]C1
C1=CNCCCCOPOPOCCOCNC1 C1=[CH:1]CNCOCCOPOPOCCCCN1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNCCCCSC=[CH:1]COCC=CCOCC1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNCCCCS[CH:1]=CCOCC=CCOCC1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNCCCCS[CH:1]=[CH:1]COCC=CCOCC1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNCCC[CH2:1]SC=CCOCC=CCOCC1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNC[CH2:1]CCSC=CCOCC=CCOCC1
C1=CNCCCCSC=CCOCC=CCOCC1 C1=CNC[CH2:1][CH2:1][CH2:1]SC=CCOCC=CCOCC1
C1=CNCCCCSC=CCOCCCCOCC1 C1=CNCCCCSC=[CH:1]COCCCCOCC1
C1=CNCCCCSC=CCOCCCCOCC1 C1=CNCCCCS[CH:1]=CCOCCCCOCC1
C1=CNCCCCSC=CCOCCCCOCC1 C1=CNCCCCS[CH:1]=[CH:1]COCCCCOCC1
C1=CNCCCN1 C1=CNC[CH2:1]CN1
C1=CNCCCN1 C1=CN[CH2:1]CCN1
C1=CNCCCN1 C1=CN[CH2:1][CH2:1]CN1
C1=CNCCCN1 C1=C[NH:1]CCCN1
